Suburb,Region,Obese,Current smoker,High blood pressure,Heart disease,Stroke,Cancer
Alpine,Hume Region,13.45,12.70,21.82,6.67,1.56,7.29
Ararat,Grampians,22.28,22.12,25.85,6.93,1.70,8.69
Ballarat,Grampians,25.84,15.01,31.85,6.42,3.10,9.00
Banyule,North & West Metropolitan,19.76,8.57,24.30,6.82,2.12,7.73
Bass Coast,Gippsland,18.70,16.26,25.95,6.43,4.25,8.71
Baw Baw,Gippsland,14.83,29.67,28.43,6.88,2.41,7.70
Bayside,Southern Metropolitan,11.87,9.49,20.64,5.67,0.93,9.13
Benalla,Hume Region,26.89,14.59,29.14,8.39,5.18,6.47
Boroondara,Eastern Metropolitan,12.53,7.20,20.37,7.14,1.78,5.74
Brimbank,North & West Metropolitan,19.56,17.51,26.95,7.85,2.52,5.78
Buloke,Loddon Mallee,21.91,18.53,32.09,5.28,1.58,6.65
Campaspe,Loddon Mallee,32.31,21.89,36.82,7.42,3.10,10.17
Cardinia,Southern Metropolitan,24.87,18.41,23.44,6.41,3.02,7.59
Casey,Southern Metropolitan,25.22,16.28,27.05,9.10,2.20,5.98
Central Goldfields,Loddon Mallee,23.64,20.78,34.36,8.18,4.93,6.33
Colac-Otway,Barwon-South Western,19.87,13.56,27.75,10.13,1.75,7.12
Corangamite,Barwon-South Western,27.48,10.93,28.79,9.12,1.94,6.56
Darebin,North & West Metropolitan,19.29,12.06,26.39,4.17,2.26,6.00
East Gippsland,Gippsland,22.52,11.78,23.75,7.77,4.17,5.07
Frankston,Southern Metropolitan,19.86,17.21,28.63,7.79,4.07,9.87
Gannawarra,Loddon Mallee,14.78,12.00,28.44,6.75,1.21,7.24
Glen Eira,Southern Metropolitan,14.95,18.22,22.92,9.90,3.12,7.64
Glenelg,Barwon-South Western,28.60,16.05,28.79,5.42,2.09,7.32
Golden Plains,Grampians,21.98,18.66,23.60,7.71,3.04,7.06
Greater Bendigo,Loddon Mallee,26.56,13.04,27.06,5.67,2.14,7.14
Greater Dandenong,Southern Metropolitan,16.84,14.48,28.42,9.10,2.01,7.09
Greater Geelong,Barwon-South Western,16.62,12.17,28.73,5.39,3.21,4.94
Greater Shepparton,Hume Region,23.42,12.86,25.42,8.88,1.86,8.23
